Title,Body,Labels,Milestone,Assignees
"Scaffold repo with kubebuilder v4","Run kubebuilder init --domain kanary.io --repo github.com/<org>/kanary. Commit initial structure. Acceptance: repo builds with `make build`.","area/controller,kind/chore,priority/p0","M0 — Spec & Scaffold",
"Commit SPEC.md and BACKLOG.md","Add SPEC.md (this spec) and BACKLOG.md to repo root. Set CODEOWNERS for SPEC.md.","area/docs,kind/docs,priority/p0","M0 — Spec & Scaffold",
"Create ADR-001: No replacement for Deployment","Record the decision not to create a CRD that replaces Deployment. See SPEC §3.","area/docs,kind/docs","M0 — Spec & Scaffold",
"Add Makefile with build/test/lint/manifests/helm-lint","Standard Makefile targets. Must run on Linux and macOS.","area/ci,kind/chore,priority/p0","M0 — Spec & Scaffold",
"Configure golangci-lint","Add .golangci.yml with enabled linters and pre-commit hooks.","area/ci,kind/chore","M0 — Spec & Scaffold",
"Bootstrap GitHub Project from issues.csv","Create Project (v2), add custom fields Milestone/Priority/Area and import all issues.","area/docs,kind/chore,priority/p0","M0 — Spec & Scaffold",
"Define CanarySpec and CanaryStatus types","Fields per SPEC §4.1. Include validation markers.","area/controller,kind/feature,priority/p0","M1 — MVP Manual",
"Validation webhook for Canary","Ensure targetRef points to existing Deployment; steps weights are monotonic.","area/webhooks,kind/feature","M1 — MVP Manual",
"Defaulting webhook for Canary","Default strategy.mode=Manual, analysis.enabled=false.","area/webhooks,kind/feature","M1 — MVP Manual",
"Implement state machine Idle/Progressing/Awaiting/Succeeded/RolledBack","Per SPEC §4.3.","area/controller,kind/feature,priority/p0","M1 — MVP Manual",
"Reconcile canary Deployment copy","Create and manage canary Deployment as copy of target with 1 replica and owner ref.","area/controller,kind/feature","M1 — MVP Manual",
"Reconcile stable/canary Services","Create stable and canary Services targeting selectors by revision label.","area/controller,kind/feature","M1 — MVP Manual",
"Support kanary.io/promote, abort, paused, canary-enabled annotations","Acceptance tests confirm behavior.","area/controller,kind/feature,priority/p0","M1 — MVP Manual",
"Emit Kubernetes Events on transitions","Normal/Warning events for each state transition.","area/controller,kind/feature","M1 — MVP Manual",
"Structured logging with log/slog","Default JSON, fields canary/namespace/phase/step/reconcile_id.","area/controller,kind/chore","M1 — MVP Manual",
"Leader election flag","--enable-leader-election, only effective with replicas>1.","area/controller,kind/feature","M1 — MVP Manual",
"Add --watch-namespaces flag","Cluster/list/single. Acceptance: memory footprint reduced in namespaced mode.","area/controller,kind/feature,priority/p0","M1 — MVP Manual",
"Define TrafficRouter interface","Reconcile/Reset/Status methods. Factory by trafficProvider.type.","area/traffic,kind/feature,priority/p0","M1 — MVP Manual",
"Implement NginxIngressRouter","Use ingress-nginx canary annotations.","area/traffic,kind/feature,priority/p0","M1 — MVP Manual",
"Unit tests NginxIngressRouter","Table-driven.","area/traffic,area/testing,kind/test","M1 — MVP Manual",
"Implement OpenshiftRouteRouter","Use Route.alternateBackends.","area/traffic,kind/feature","M2 — Multi-provider",
"Unit tests OpenshiftRouteRouter","Table-driven.","area/traffic,area/testing,kind/test","M2 — Multi-provider",
"Scaffold Helm chart","charts/kanary with CRDs, Deployment, RBAC, Service, ServiceMonitor, PrometheusRule.","area/chart,kind/feature,priority/p0","M1 — MVP Manual",
"Helm values for scope.mode","cluster/namespaced/multi-namespace.","area/chart,kind/feature","M1 — MVP Manual",
"Helm values for providers enable flags","traffic & metrics providers toggles.","area/chart,kind/feature","M1 — MVP Manual",
"Helm lint & test in CI","Fail PR on helm lint errors.","area/ci,area/chart,kind/chore","M1 — MVP Manual",
"Publish Helm chart to GH Pages on release","Workflow step.","area/ci,area/chart,kind/chore","M2 — Multi-provider",
"Workflow ci.yaml","lint + unit + race + coverage gate ≥80%.","area/ci,kind/chore,priority/p0","M1 — MVP Manual",
"Workflow e2e-kind.yaml","Kind + ingress-nginx + envtest E2E suite.","area/ci,kind/test,priority/p0","M1 — MVP Manual",
"Workflow release.yaml","Multi-arch images, GHCR, SBOM, cosign, chart publish.","area/ci,area/security,kind/chore","M4 — Hardening & 1.0",
"Composite action canary-deploy v1","Manual strategy; inputs kubeconfig/namespace/deployment/image/strategy/wait-for/timeout.","area/ci,kind/feature,priority/p0","M1 — MVP Manual",
"Composite action standard-deploy with enable-canary toggle","Turns off canary via annotation then kubectl rollout.","area/ci,kind/feature,priority/p0","M1 — MVP Manual",
"Docs: actions.md","Usage examples for both actions.","area/docs,kind/docs","M2 — Multi-provider",
"Define MetricProvider interface","Query/HealthCheck methods.","area/metrics,kind/feature,priority/p0","M3 — Progressive Analysis",
"Implement PrometheusProvider","PromQL over HTTP API.","area/metrics,kind/feature,priority/p0","M3 — Progressive Analysis",
"Implement DatadogProvider","Metrics v2 API with secret-based auth.","area/metrics,kind/feature","M3 — Progressive Analysis",
"Implement DynatraceProvider","Metrics v2 API with token.","area/metrics,kind/feature","M3 — Progressive Analysis",
"Analysis engine","Windows, thresholds min/max, consecutive fails.","area/analysis,kind/feature,priority/p0","M3 — Progressive Analysis",
"Progressive mode in reconciler","Auto-advance on pass, rollback on fail.","area/controller,kind/feature,priority/p0","M3 — Progressive Analysis",
"Automatic rollback on maxFailedChecks","Verified by E2E.","area/controller,kind/feature,priority/p0","M3 — Progressive Analysis",
"Fuzz tests for query parsers","FuzzParsePromQL, FuzzParseDDQuery.","area/testing,kind/test","M3 — Progressive Analysis",
